Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,ScanRecord,1654984883.163703,1107,0,0
5,DeleteRecord,1654984883.165156,1070,0,0
5,DeleteRecord,1654984883.166240,997,0,0
1,ReadRecord,1654984883.167249,824,0,0
3,ScanRecord,1654984883.168085,817,0,0
2,InsertRecord,1654984883.168915,5135,0,0
5,DeleteRecord,1654984883.174063,10408,0,0
2,InsertRecord,1654984883.184484,10423,0,0
4,UpdateRecord,1654984883.194920,1138,0,0
1,ReadRecord,1654984883.196070,1069,0,0
2,InsertRecord,1654984883.197151,8199,0,0
4,UpdateRecord,1654984883.205363,1161,0,0
1,ReadRecord,1654984883.206538,1103,0,0
2,InsertRecord,1654984883.207654,8097,0,0
4,UpdateRecord,1654984883.215763,10436,0,0
5,DeleteRecord,1654984883.226212,1097,0,0
5,DeleteRecord,1654984883.227321,9278,0,0
5,DeleteRecord,1654984883.236612,10416,0,0
4,UpdateRecord,1654984883.247040,1170,0,0
1,ReadRecord,1654984883.248223,1045,0,0
4,UpdateRecord,1654984883.249281,8148,0,0
3,ScanRecord,1654984883.257441,2384,0,0
1,ReadRecord,1654984883.259837,729,0,0
4,UpdateRecord,1654984883.260576,1003,0,0
1,ReadRecord,1654984883.261591,925,0,0
4,UpdateRecord,1654984883.262529,5287,0,0
4,UpdateRecord,1654984883.267829,10434,0,0
2,InsertRecord,1654984883.278275,10477,0,0
4,UpdateRecord,1654984883.288765,1151,0,0
1,ReadRecord,1654984883.289929,1106,0,0
4,UpdateRecord,1654984883.291049,928,0,0
1,ReadRecord,1654984883.291989,757,0,0
1,ReadRecord,1654984883.292757,989,0,0
5,DeleteRecord,1654984883.293759,965,0,0
1,ReadRecord,1654984883.294737,682,0,0
3,ScanRecord,1654984883.295432,767,0,0
5,DeleteRecord,1654984883.296212,741,0,0
3,ScanRecord,1654984883.296965,4491,0,0
3,ScanRecord,1654984883.301469,926,0,0
4,UpdateRecord,1654984883.302404,1027,0,0
2,InsertRecord,1654984883.303442,16550,0,0
5,DeleteRecord,1654984883.320004,10411,0,0
3,ScanRecord,1654984883.330428,1140,0,0
1,ReadRecord,1654984883.331580,894,0,0
3,ScanRecord,1654984883.332487,989,0,0
2,InsertRecord,1654984883.333488,7374,0,0
3,ScanRecord,1654984883.340875,1167,0,0
5,DeleteRecord,1654984883.342055,1059,0,0
2,InsertRecord,1654984883.343126,8109,0,0
4,UpdateRecord,1654984883.351248,1116,0,0
1,ReadRecord,1654984883.352376,950,0,0
1,ReadRecord,1654984883.353339,724,0,0
3,ScanRecord,1654984883.354075,962,0,0
4,UpdateRecord,1654984883.355050,6610,0,0
4,UpdateRecord,1654984883.361672,1164,0,0
2,InsertRecord,1654984883.362849,9229,0,0
2,InsertRecord,1654984883.372091,10436,0,0
