Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1654990606.461370,957,0,0
4,UpdateRecord,1654990606.462533,1030,0,0
1,ReadRecord,1654990606.463577,749,0,0
2,InsertRecord,1654990606.464340,28372,0,0
3,ScanRecord,1654990606.492724,1025,0,0
5,DeleteRecord,1654990606.493761,1050,0,0
3,ScanRecord,1654990606.494824,986,0,0
3,ScanRecord,1654990606.495822,1766,0,0
1,ReadRecord,1654990606.497601,1151,0,0
3,ScanRecord,1654990606.498765,1120,0,0
4,UpdateRecord,1654990606.499898,1079,0,0
1,ReadRecord,1654990606.500989,1029,0,0
2,InsertRecord,1654990606.502031,69534,0,0
4,UpdateRecord,1654990606.571578,1109,0,0
1,ReadRecord,1654990606.572700,1004,0,0
4,UpdateRecord,1654990606.573716,1134,0,0
3,ScanRecord,1654990606.574863,960,0,0
3,ScanRecord,1654990606.575836,846,0,0
2,InsertRecord,1654990606.576695,40962,0,0
3,ScanRecord,1654990606.617669,833,0,0
5,DeleteRecord,1654990606.618514,949,0,0
2,InsertRecord,1654990606.619475,29441,0,0
1,ReadRecord,1654990606.648928,854,0,0
1,ReadRecord,1654990606.649794,816,0,0
3,ScanRecord,1654990606.650622,1527,0,0
2,InsertRecord,1654990606.652161,28002,0,0
1,ReadRecord,1654990606.680175,859,0,0
1,ReadRecord,1654990606.681046,879,0,0
4,UpdateRecord,1654990606.681937,1029,0,0
5,DeleteRecord,1654990606.682986,28424,0,0
4,UpdateRecord,1654990606.711422,993,0,0
3,ScanRecord,1654990606.712426,6117,0,0
3,ScanRecord,1654990606.718556,794,0,0
1,ReadRecord,1654990606.719362,902,0,0
2,InsertRecord,1654990606.720275,43216,0,0
4,UpdateRecord,1654990606.763503,31327,0,0
2,InsertRecord,1654990606.794841,67472,0,0
4,UpdateRecord,1654990606.862325,1199,0,0
1,ReadRecord,1654990606.863535,1039,0,0
3,ScanRecord,1654990606.864587,961,0,0
1,ReadRecord,1654990606.865560,938,0,0
4,UpdateRecord,1654990606.866510,22027,0,0
2,InsertRecord,1654990606.888549,31271,0,0
5,DeleteRecord,1654990606.919831,1095,0,0
2,InsertRecord,1654990606.920955,30088,0,0
2,InsertRecord,1654990606.951057,31227,0,0
2,InsertRecord,1654990606.982296,31208,0,0
1,ReadRecord,1654990607.013515,1008,0,0
1,ReadRecord,1654990607.014536,1035,0,0
4,UpdateRecord,1654990607.015583,1094,0,0
5,DeleteRecord,1654990607.016690,1018,0,0
2,InsertRecord,1654990607.017720,27095,0,0
4,UpdateRecord,1654990607.044826,1104,0,0
1,ReadRecord,1654990607.045942,955,0,0
4,UpdateRecord,1654990607.046908,1054,0,0
1,ReadRecord,1654990607.047974,853,0,0
4,UpdateRecord,1654990607.048840,1145,0,0
3,ScanRecord,1654990607.049997,1073,0,0
3,ScanRecord,1654990607.051081,1002,0,0
5,DeleteRecord,1654990607.052096,924,0,0
3,ScanRecord,1654990607.053032,934,0,0
1,ReadRecord,1654990607.053978,912,0,0
3,ScanRecord,1654990607.054910,1188,0,0
2,InsertRecord,1654990607.056108,40804,0,0
4,UpdateRecord,1654990607.096924,1187,0,0
3,ScanRecord,1654990607.098127,1000,0,0
3,ScanRecord,1654990607.099140,1000,0,0
2,InsertRecord,1654990607.100151,28011,0,0
3,ScanRecord,1654990607.128175,934,0,0
4,UpdateRecord,1654990607.129120,1146,0,0
5,DeleteRecord,1654990607.130279,29123,0,0
3,ScanRecord,1654990607.159414,964,0,0
2,InsertRecord,1654990607.160389,30272,0,0
1,ReadRecord,1654990607.190673,1057,0,0
5,DeleteRecord,1654990607.191742,1004,0,0
2,InsertRecord,1654990607.192757,29158,0,0
2,InsertRecord,1654990607.221928,31234,0,0
4,UpdateRecord,1654990607.253174,1144,0,0
1,ReadRecord,1654990607.254329,999,0,0
3,ScanRecord,1654990607.255340,1042,0,0
4,UpdateRecord,1654990607.256394,28015,0,0
3,ScanRecord,1654990607.284421,4036,0,0
