Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,UpdateRecord,1655027258.062104,1156,0,0
3,ScanRecord,1655027258.063616,1101,0,0
4,UpdateRecord,1655027258.064730,1217,0,0
5,DeleteRecord,1655027258.065959,1013,0,0
5,DeleteRecord,1655027258.066982,1096,0,0
5,DeleteRecord,1655027258.068103,1092,0,0
2,InsertRecord,1655027258.069207,3248,0,0
5,DeleteRecord,1655027258.072468,1125,0,0
1,ReadRecord,1655027258.073606,1056,0,0
5,DeleteRecord,1655027258.074672,1047,0,0
1,ReadRecord,1655027258.075729,1053,0,0
1,ReadRecord,1655027258.076795,1044,0,0
1,ReadRecord,1655027258.077851,1029,0,0
4,UpdateRecord,1655027258.078892,1257,0,0
5,DeleteRecord,1655027258.080161,1116,0,0
5,DeleteRecord,1655027258.081290,12007,0,0
3,ScanRecord,1655027258.093309,1134,0,0
2,InsertRecord,1655027258.094456,9260,0,0
1,ReadRecord,1655027258.103728,1160,0,0
3,ScanRecord,1655027258.104901,1148,0,0
2,InsertRecord,1655027258.106061,8142,0,0
2,InsertRecord,1655027258.114215,10392,0,0
4,UpdateRecord,1655027258.124620,1172,0,0
5,DeleteRecord,1655027258.125804,1052,0,0
2,InsertRecord,1655027258.126868,8166,0,0
3,ScanRecord,1655027258.135047,1072,0,0
5,DeleteRecord,1655027258.136131,1118,0,0
3,ScanRecord,1655027258.137261,1078,0,0
5,DeleteRecord,1655027258.138352,1068,0,0
4,UpdateRecord,1655027258.139433,1157,0,0
2,InsertRecord,1655027258.140602,4831,0,0
2,InsertRecord,1655027258.145446,10426,0,0
5,DeleteRecord,1655027258.155885,1095,0,0
4,UpdateRecord,1655027258.156992,1154,0,0
2,InsertRecord,1655027258.158159,8124,0,0
1,ReadRecord,1655027258.166295,989,0,0
1,ReadRecord,1655027258.167296,1013,0,0
4,UpdateRecord,1655027258.168322,1175,0,0
3,ScanRecord,1655027258.169509,1343,0,0
2,InsertRecord,1655027258.170865,5800,0,0
2,InsertRecord,1655027258.176677,10514,0,0
1,ReadRecord,1655027258.187204,1162,0,0
1,ReadRecord,1655027258.188379,1163,0,0
5,DeleteRecord,1655027258.189555,1128,0,0
3,ScanRecord,1655027258.190695,1000,0,0
2,InsertRecord,1655027258.191707,5873,0,0
5,DeleteRecord,1655027258.197592,1141,0,0
1,ReadRecord,1655027258.198746,1079,0,0
3,ScanRecord,1655027258.199838,1128,0,0
