Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1658940564.328022,593224,0,0
1,NewOrder,1658940564.921477,34205615,0,0
1,NewOrder,1658940599.127138,26142788,0,0
1,NewOrder,1658940625.269961,13190677,0,0
3,OrderStatus,1658940638.460670,2620523,0,0
2,Payment,1658940641.081221,985543,0,0
2,Payment,1658940642.066795,1426528,0,0
2,Payment,1658940643.493355,1943269,0,0
1,NewOrder,1658940645.436660,29117936,0,0
2,Payment,1658940674.554627,1335469,0,0
2,Payment,1658940675.890128,1020473,0,0
2,Payment,1658940676.910633,1324333,0,0
1,NewOrder,1658940678.234991,16231555,0,0
2,Payment,1658940694.466578,512235,0,0
1,NewOrder,1658940694.978845,13532598,0,0
1,NewOrder,1658940708.511475,31654377,0,0
2,Payment,1658940740.165883,1976744,0,0
2,Payment,1658940742.142659,1287066,0,0
2,Payment,1658940743.429757,760016,0,0
2,Payment,1658940744.189804,1302266,0,0
2,Payment,1658940745.492157,1281341,0,0
1,NewOrder,1658940746.773529,37342960,0,0
1,NewOrder,1658940784.116521,18702710,0,0
2,Payment,1658940802.819263,1324838,0,0
1,NewOrder,1658940804.144138,13709568,0,0
1,NewOrder,1658940817.853736,32041147,0,0
1,NewOrder,1658940849.894914,26662830,0,0
1,NewOrder,1658940876.557777,26236340,0,0
1,NewOrder,1658940902.794148,16161612,0,0
1,NewOrder,1658940918.955791,34529778,0,0
1,NewOrder,1658940953.485602,34335276,0,0
3,OrderStatus,1658940987.820911,3310785,0,0
1,NewOrder,1658940991.131744,13306381,0,0
5,StockLevel,1658941004.438157,4373639,0,0
2,Payment,1658941008.811828,1265405,0,0
2,Payment,1658941010.077264,751450,0,0
2,Payment,1658941010.828746,1280696,0,0
2,Payment,1658941012.109474,582880,0,0
1,NewOrder,1658941012.692385,28704020,0,0
2,Payment,1658941041.396445,1273106,0,0
1,NewOrder,1658941042.669582,37081765,0,0
2,Payment,1658941079.751379,1315539,0,0
1,NewOrder,1658941081.066949,34142086,0,0
1,NewOrder,1658941115.209066,21442858,0,0
2,Payment,1658941136.651980,1315589,0,0
2,Payment,1658941137.967601,988550,0,0
1,NewOrder,1658941138.956182,18994454,0,0
1,NewOrder,1658941157.950666,36446761,0,0
1,NewOrder,1658941194.397459,28737257,0,0
1,NewOrder,1658941223.134748,21329394,0,0
1,NewOrder,1658941244.464171,31654413,0,0
1,NewOrder,1658941276.118616,37072821,0,0
2,Payment,1658941313.191468,594511,0,0
2,Payment,1658941313.786011,1302932,0,0
1,NewOrder,1658941315.088975,13627412,0,0
4,Delivery,1658941328.716418,31816123,0,0
2,Payment,1658941360.532604,1319682,0,0
2,Payment,1658941361.852317,1364105,0,0
1,NewOrder,1658941363.216453,39572361,0,0
5,StockLevel,1658941402.788846,4418578,0,0
1,NewOrder,1658941407.207456,21472902,0,0
2,Payment,1658941428.680390,1314310,0,0
5,StockLevel,1658941429.994731,4370003,0,0
4,Delivery,1658941434.364764,31825139,0,0
2,Payment,1658941466.189936,1370537,0,0
1,NewOrder,1658941467.560505,16615758,0,0
2,Payment,1658941484.176292,1313795,0,0
2,Payment,1658941485.490119,1303474,0,0
2,Payment,1658941486.793703,1332506,0,0
2,Payment,1658941488.126241,1313518,0,0
2,Payment,1658941489.439792,346904,0,0
1,NewOrder,1658941489.786727,29419951,0,0
1,NewOrder,1658941519.206709,14003876,0,0
1,NewOrder,1658941533.210616,26641658,0,0
1,NewOrder,1658941559.852304,32509563,0,0
2,Payment,1658941592.361904,845119,0,0
1,NewOrder,1658941593.207054,26882693,0,0
2,Payment,1658941620.089778,750838,0,0
1,NewOrder,1658941620.840647,35029375,0,0
2,Payment,1658941655.870052,1335055,0,0
2,Payment,1658941657.205139,1334607,0,0
1,NewOrder,1658941658.539778,29422031,0,0
1,NewOrder,1658941687.961839,26642640,0,0
2,Payment,1658941714.604509,751173,0,0
1,NewOrder,1658941715.355712,29329530,0,0
2,Payment,1658941744.685274,1334459,0,0
2,Payment,1658941746.019765,1910646,0,0
