Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,OrderStatus,1658921593.404256,343860,0,0
2,Payment,1658921593.748452,677607,0,0
2,Payment,1658921594.426105,604111,0,0
2,Payment,1658921595.030259,562666,0,0
1,NewOrder,1658921595.592967,2010127,0,0
5,StockLevel,1658921597.603130,143644,0,0
2,Payment,1658921597.746806,554949,0,0
1,NewOrder,1658921598.301790,1968466,0,0
4,Delivery,1658921600.270295,4991692,0,0
1,NewOrder,1658921605.262025,1729021,0,0
1,NewOrder,1658921606.991087,2573363,0,0
1,NewOrder,1658921609.564504,2421860,0,0
1,NewOrder,1658921611.986404,3058216,0,0
1,NewOrder,1658921615.044660,1542036,0,0
1,NewOrder,1658921616.586728,2635629,0,0
1,NewOrder,1658921619.222395,2292167,0,0
2,Payment,1658921621.514602,604620,0,0
1,NewOrder,1658921622.119284,2447721,0,0
1,NewOrder,1658921624.567110,1771152,0,0
1,NewOrder,1658921626.338301,1733106,0,0
2,Payment,1658921628.071446,476033,0,0
1,NewOrder,1658921628.547517,1979181,0,0
2,Payment,1658921630.526734,469223,0,0
5,StockLevel,1658921630.995997,532750,0,0
1,NewOrder,1658921631.528783,2394195,0,0
1,NewOrder,1658921633.923041,2781907,0,0
1,NewOrder,1658921636.704987,2114986,0,0
2,Payment,1658921638.820021,500189,0,0
1,NewOrder,1658921639.320248,1833117,0,0
2,Payment,1658921641.153402,552646,0,0
1,NewOrder,1658921641.706086,2854349,0,0
2,Payment,1658921644.560495,417321,0,0
2,Payment,1658921644.977856,468760,0,0
2,Payment,1658921645.446654,414567,0,0
2,Payment,1658921645.861256,502324,0,0
2,Payment,1658921646.363622,562652,0,0
1,NewOrder,1658921646.926314,1406055,0,0
1,NewOrder,1658921648.332407,1812803,0,0
1,NewOrder,1658921650.145258,2563005,0,0
3,OrderStatus,1658921652.708301,270236,0,0
1,NewOrder,1658921652.978571,2938587,0,0
1,NewOrder,1658921655.917197,2042000,0,0
1,NewOrder,1658921657.959235,2083794,0,0
1,NewOrder,1658921660.043068,2553384,0,0
1,NewOrder,1658921662.596523,2417561,0,0
5,StockLevel,1658921665.014229,359007,0,0
1,NewOrder,1658921665.373273,1911391,0,0
1,NewOrder,1658921667.284701,2250696,0,0
2,Payment,1658921669.535442,943698,0,0
2,Payment,1658921670.479177,546327,0,0
1,NewOrder,1658921671.025542,2614868,0,0
2,Payment,1658921673.640454,760935,0,0
1,NewOrder,1658921674.401433,1979011,0,0
2,Payment,1658921676.380497,479512,0,0
2,Payment,1658921676.860049,656374,0,0
1,NewOrder,1658921677.516477,2145946,0,0
1,NewOrder,1658921679.662463,2708681,0,0
1,NewOrder,1658921682.371188,1916860,0,0
2,Payment,1658921684.288087,458830,0,0
2,Payment,1658921684.746958,531287,0,0
2,Payment,1658921685.278282,645863,0,0
2,Payment,1658921685.924189,1024009,0,0
1,NewOrder,1658921686.948241,1996807,0,0
2,Payment,1658921688.945088,417172,0,0
2,Payment,1658921689.362300,562667,0,0
5,StockLevel,1658921689.925034,178052,0,0
2,Payment,1658921690.103154,603118,0,0
1,NewOrder,1658921690.706312,2771113,0,0
1,NewOrder,1658921693.477498,1937731,0,0
2,Payment,1658921695.415297,605414,0,0
2,Payment,1658921696.020748,572150,0,0
2,Payment,1658921696.592937,778051,0,0
1,NewOrder,1658921697.371025,1784473,0,0
2,Payment,1658921699.155539,500777,0,0
5,StockLevel,1658921699.656357,228205,0,0
2,Payment,1658921699.884583,511016,0,0
2,Payment,1658921700.395661,510484,0,0
1,NewOrder,1658921700.906185,2218601,0,0
2,Payment,1658921703.124826,656665,0,0
2,Payment,1658921703.781531,406295,0,0
2,Payment,1658921704.187867,614760,0,0
1,NewOrder,1658921704.802666,1385459,0,0
2,Payment,1658921706.188167,615002,0,0
4,Delivery,1658921706.803210,5448766,0,0
4,Delivery,1658921712.252014,5043023,0,0
1,NewOrder,1658921717.295076,3020957,0,0
2,Payment,1658921720.316071,501210,0,0
2,Payment,1658921720.817320,489466,0,0
1,NewOrder,1658921721.306824,2573263,0,0
2,Payment,1658921723.880127,1073217,0,0
1,NewOrder,1658921724.953384,1906178,0,0
1,NewOrder,1658921726.859601,1239809,0,0
1,NewOrder,1658921728.099448,1666976,0,0
4,Delivery,1658921729.766466,4199319,0,0
4,Delivery,1658921733.965826,4980259,0,0
2,Payment,1658921738.946125,510184,0,0
1,NewOrder,1658921739.456502,3239709,0,0
1,NewOrder,1658921742.696245,2104610,0,0
1,NewOrder,1658921744.800889,2615200,0,0
2,Payment,1658921747.416122,437984,0,0
2,Payment,1658921747.854137,666541,0,0
2,Payment,1658921748.520710,416774,0,0
2,Payment,1658921748.937551,437643,0,0
1,NewOrder,1658921749.375238,2250041,0,0
2,Payment,1658921751.625373,500332,0,0
1,NewOrder,1658921752.125734,1802021,0,0
2,Payment,1658921753.927783,500399,0,0
1,NewOrder,1658921754.428212,2614551,0,0
2,Payment,1658921757.042791,583791,0,0
2,Payment,1658921757.626611,406305,0,0
1,NewOrder,1658921758.032945,1671176,0,0
2,Payment,1658921759.704150,413305,0,0
1,NewOrder,1658921760.117483,2551609,0,0
1,NewOrder,1658921762.669126,1114554,0,0
2,Payment,1658921763.783708,677725,0,0
1,NewOrder,1658921764.461458,1822818,0,0
