Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1658953775.850819,907482,0,0
1,NewOrder,1658953776.758546,36412226,0,0
3,OrderStatus,1658953813.170800,3261500,0,0
2,Payment,1658953816.432330,952678,0,0
1,NewOrder,1658953817.385038,20795472,0,0
1,NewOrder,1658953838.180541,15472530,0,0
1,NewOrder,1658953853.653103,38605147,0,0
1,NewOrder,1658953892.258282,23112530,0,0
4,Delivery,1658953915.370845,31050615,0,0
1,NewOrder,1658953946.421492,28577966,0,0
1,NewOrder,1658953974.999490,33550927,0,0
2,Payment,1658954008.550449,1304991,0,0
1,NewOrder,1658954009.855473,25651422,0,0
2,Payment,1658954035.506941,1303451,0,0
1,NewOrder,1658954036.810425,33746358,0,0
3,OrderStatus,1658954070.556817,3245759,0,0
2,Payment,1658954073.802606,1037098,0,0
2,Payment,1658954074.839737,1261266,0,0
1,NewOrder,1658954076.101036,33467520,0,0
2,Payment,1658954109.568588,1302440,0,0
2,Payment,1658954110.871061,991488,0,0
1,NewOrder,1658954111.862583,18002786,0,0
1,NewOrder,1658954129.865402,18431164,0,0
2,Payment,1658954148.296599,1335686,0,0
2,Payment,1658954149.632318,1323301,0,0
5,StockLevel,1658954150.955681,4293614,0,0
2,Payment,1658954155.249336,1050876,0,0
1,NewOrder,1658954156.300244,31331085,0,0
2,Payment,1658954187.631362,1334946,0,0
1,NewOrder,1658954188.966339,28247139,0,0
2,Payment,1658954217.213517,1334397,0,0
1,NewOrder,1658954218.547947,29226158,0,0
1,NewOrder,1658954247.774136,36738872,0,0
5,StockLevel,1658954284.513041,4386741,0,0
2,Payment,1658954288.899813,646919,0,0
1,NewOrder,1658954289.546765,34185748,0,0
1,NewOrder,1658954323.732544,13566414,0,0
2,Payment,1658954337.299013,584437,0,0
1,NewOrder,1658954337.883491,28830016,0,0
1,NewOrder,1658954366.713537,18608960,0,0
2,Payment,1658954385.322530,583971,0,0
2,Payment,1658954385.906534,1063000,0,0
2,Payment,1658954386.969568,1015097,0,0
2,Payment,1658954387.984698,1545166,0,0
1,NewOrder,1658954389.529897,31303449,0,0
1,NewOrder,1658954420.833378,28684059,0,0
1,NewOrder,1658954449.517469,21068421,0,0
2,Payment,1658954470.585958,1063747,0,0
2,Payment,1658954471.649738,834066,0,0
1,NewOrder,1658954472.483835,31163957,0,0
1,NewOrder,1658954503.647824,31737400,0,0
2,Payment,1658954535.385256,1303646,0,0
1,NewOrder,1658954536.688934,13284082,0,0
2,Payment,1658954549.973047,1272761,0,0
2,Payment,1658954551.245841,991608,0,0
2,Payment,1658954552.237480,789001,0,0
1,NewOrder,1658954553.026513,18869202,0,0
1,NewOrder,1658954571.895747,24070234,0,0
1,NewOrder,1658954595.966012,26298300,0,0
1,NewOrder,1658954622.264345,31425534,0,0
1,NewOrder,1658954653.689912,23527164,0,0
1,NewOrder,1658954677.217107,39220764,0,0
3,OrderStatus,1658954716.437903,3056286,0,0
1,NewOrder,1658954719.494218,26783394,0,0
1,NewOrder,1658954746.277644,37418705,0,0
2,Payment,1658954783.696381,1292983,0,0
1,NewOrder,1658954784.989396,26640855,0,0
5,StockLevel,1658954811.630284,4459946,0,0
2,Payment,1658954816.090263,980871,0,0
1,NewOrder,1658954817.071167,18607196,0,0
1,NewOrder,1658954835.678395,29299305,0,0
1,NewOrder,1658954864.977731,26486546,0,0
1,NewOrder,1658954891.464310,29153667,0,0
2,Payment,1658954920.618009,595111,0,0
2,Payment,1658954921.213153,448913,0,0
1,NewOrder,1658954921.662097,29516885,0,0
2,Payment,1658954951.179012,1303111,0,0
