Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
5,DeleteRecord,1655030617.704874,5266,0,0
1,ReadRecord,1655030617.710343,6284,0,0
1,ReadRecord,1655030617.716641,6253,0,0
3,ScanRecord,1655030617.722908,7475,0,0
5,DeleteRecord,1655030617.730396,4955,0,0
2,InsertRecord,1655030617.735365,17632,0,0
5,DeleteRecord,1655030617.753010,4996,0,0
2,InsertRecord,1655030617.758019,15805,0,0
4,UpdateRecord,1655030617.773837,11103,0,0
1,ReadRecord,1655030617.784954,6253,0,0
3,ScanRecord,1655030617.791220,8600,0,0
3,ScanRecord,1655030617.799834,7548,0,0
1,ReadRecord,1655030617.807396,6253,0,0
2,InsertRecord,1655030617.813663,22636,0,0
3,ScanRecord,1655030617.836332,7565,0,0
5,DeleteRecord,1655030617.843911,4973,0,0
4,UpdateRecord,1655030617.848897,18675,0,0
3,ScanRecord,1655030617.867585,9396,0,0
4,UpdateRecord,1655030617.876995,11737,0,0
3,ScanRecord,1655030617.888746,7383,0,0
2,InsertRecord,1655030617.896143,23532,0,0
1,ReadRecord,1655030617.919688,6209,0,0
2,InsertRecord,1655030617.925911,14536,0,0
1,ReadRecord,1655030617.940460,6041,0,0
5,DeleteRecord,1655030617.946516,4939,0,0
2,InsertRecord,1655030617.951469,20211,0,0
5,DeleteRecord,1655030617.971694,5173,0,0
2,InsertRecord,1655030617.976880,15628,0,0
5,DeleteRecord,1655030617.992522,5009,0,0
2,InsertRecord,1655030617.997545,15762,0,0
3,ScanRecord,1655030618.013320,7921,0,0
2,InsertRecord,1655030618.021254,12976,0,0
3,ScanRecord,1655030618.034244,19810,0,0
3,ScanRecord,1655030618.054070,7965,0,0
5,DeleteRecord,1655030618.062049,5069,0,0
5,DeleteRecord,1655030618.067131,4943,0,0
4,UpdateRecord,1655030618.072087,11592,0,0
1,ReadRecord,1655030618.083692,6399,0,0
1,ReadRecord,1655030618.090104,6234,0,0
1,ReadRecord,1655030618.096352,6174,0,0
2,InsertRecord,1655030618.102539,15019,0,0
1,ReadRecord,1655030618.117572,6351,0,0
5,DeleteRecord,1655030618.123936,4861,0,0
2,InsertRecord,1655030618.128810,20024,0,0
4,UpdateRecord,1655030618.148848,11503,0,0
5,DeleteRecord,1655030618.160364,4981,0,0
3,ScanRecord,1655030618.165359,7995,0,0
3,ScanRecord,1655030618.173367,7230,0,0
3,ScanRecord,1655030618.180610,44591,0,0
3,ScanRecord,1655030618.225228,8845,0,0
4,UpdateRecord,1655030618.234086,11087,0,0
3,ScanRecord,1655030618.245187,7824,0,0
5,DeleteRecord,1655030618.253025,4971,0,0
3,ScanRecord,1655030618.258010,8110,0,0
2,InsertRecord,1655030618.266141,18156,0,0
4,UpdateRecord,1655030618.284310,11243,0,0
1,ReadRecord,1655030618.295567,6341,0,0
1,ReadRecord,1655030618.301921,6234,0,0
1,ReadRecord,1655030618.308169,6290,0,0
2,InsertRecord,1655030618.314472,21978,0,0
3,ScanRecord,1655030618.336463,7597,0,0
2,InsertRecord,1655030618.344074,13160,0,0
4,UpdateRecord,1655030618.357247,11259,0,0
4,UpdateRecord,1655030618.368520,11285,0,0
4,UpdateRecord,1655030618.379819,11171,0,0
4,UpdateRecord,1655030618.391008,11182,0,0
1,ReadRecord,1655030618.402202,6156,0,0
1,ReadRecord,1655030618.408371,6088,0,0
5,DeleteRecord,1655030618.414471,4817,0,0
2,InsertRecord,1655030618.419300,21278,0,0
4,UpdateRecord,1655030618.440592,11292,0,0
3,ScanRecord,1655030618.451897,7271,0,0
1,ReadRecord,1655030618.459182,5896,0,0
5,DeleteRecord,1655030618.465092,4840,0,0
3,ScanRecord,1655030618.469945,35767,0,0
3,ScanRecord,1655030618.505741,38323,0,0
5,DeleteRecord,1655030618.544088,6159,0,0
5,DeleteRecord,1655030618.550261,4934,0,0
4,UpdateRecord,1655030618.555208,20795,0,0
4,UpdateRecord,1655030618.576017,20807,0,0
3,ScanRecord,1655030618.596837,7558,0,0
3,ScanRecord,1655030618.604409,8473,0,0
2,InsertRecord,1655030618.612895,15159,0,0
1,ReadRecord,1655030618.628067,6410,0,0
2,InsertRecord,1655030618.634491,31997,0,0
5,DeleteRecord,1655030618.666501,5077,0,0
5,DeleteRecord,1655030618.671591,4819,0,0
5,DeleteRecord,1655030618.676424,5184,0,0
1,ReadRecord,1655030618.681621,6224,0,0
2,InsertRecord,1655030618.687858,34035,0,0
4,UpdateRecord,1655030618.721906,20719,0,0
