Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1655028900.296540,1130,0,0
2,InsertRecord,1655028900.297855,9056,0,0
5,DeleteRecord,1655028900.306923,1126,0,0
5,DeleteRecord,1655028900.308062,1127,0,0
4,UpdateRecord,1655028900.309201,1203,0,0
3,ScanRecord,1655028900.310417,2505,0,0
3,ScanRecord,1655028900.312934,1386,0,0
4,UpdateRecord,1655028900.314333,1101,0,0
2,InsertRecord,1655028900.315452,12317,0,0
4,UpdateRecord,1655028900.327781,10381,0,0
4,UpdateRecord,1655028900.338174,1254,0,0
4,UpdateRecord,1655028900.339440,1196,0,0
1,ReadRecord,1655028900.340649,1050,0,0
5,DeleteRecord,1655028900.341712,1039,0,0
2,InsertRecord,1655028900.342763,5817,0,0
4,UpdateRecord,1655028900.348593,1179,0,0
3,ScanRecord,1655028900.349791,1040,0,0
5,DeleteRecord,1655028900.350844,8174,0,0
1,ReadRecord,1655028900.359030,1147,0,0
2,InsertRecord,1655028900.360189,9298,0,0
5,DeleteRecord,1655028900.369500,1067,0,0
1,ReadRecord,1655028900.370579,1040,0,0
5,DeleteRecord,1655028900.371651,1108,0,0
3,ScanRecord,1655028900.372772,1068,0,0
2,InsertRecord,1655028900.373852,6039,0,0
5,DeleteRecord,1655028900.379904,10409,0,0
4,UpdateRecord,1655028900.390325,1207,0,0
3,ScanRecord,1655028900.391544,1134,0,0
5,DeleteRecord,1655028900.392690,1077,0,0
5,DeleteRecord,1655028900.393780,1058,0,0
4,UpdateRecord,1655028900.394851,1145,0,0
3,ScanRecord,1655028900.396008,1003,0,0
4,UpdateRecord,1655028900.397023,1129,0,0
3,ScanRecord,1655028900.398164,1035,0,0
5,DeleteRecord,1655028900.399211,1053,0,0
3,ScanRecord,1655028900.400277,990,0,0
2,InsertRecord,1655028900.401279,9881,0,0
4,UpdateRecord,1655028900.411172,1252,0,0
2,InsertRecord,1655028900.412437,9127,0,0
1,ReadRecord,1655028900.421585,1113,0,0
1,ReadRecord,1655028900.422710,1115,0,0
5,DeleteRecord,1655028900.423837,1145,0,0
4,UpdateRecord,1655028900.424995,1200,0,0
1,ReadRecord,1655028900.426207,1085,0,0
4,UpdateRecord,1655028900.427304,1185,0,0
3,ScanRecord,1655028900.428501,2459,0,0
5,DeleteRecord,1655028900.430972,1537,0,0
5,DeleteRecord,1655028900.432521,1113,0,0
1,ReadRecord,1655028900.433646,1133,0,0
4,UpdateRecord,1655028900.434792,1204,0,0
2,InsertRecord,1655028900.436008,6397,0,0
4,UpdateRecord,1655028900.442417,1192,0,0
1,ReadRecord,1655028900.443639,1172,0,0
3,ScanRecord,1655028900.444824,1032,0,0
1,ReadRecord,1655028900.445868,1024,0,0
4,UpdateRecord,1655028900.446904,1114,0,0
4,UpdateRecord,1655028900.448031,1235,0,0
4,UpdateRecord,1655028900.449278,3535,0,0
3,ScanRecord,1655028900.452826,1001,0,0
1,ReadRecord,1655028900.453839,1070,0,0
5,DeleteRecord,1655028900.454921,995,0,0
3,ScanRecord,1655028900.455935,4046,0,0
2,InsertRecord,1655028900.460001,13634,0,0
5,DeleteRecord,1655028900.473647,988,0,0
1,ReadRecord,1655028900.474647,964,0,0
2,InsertRecord,1655028900.475648,8491,0,0
5,DeleteRecord,1655028900.484151,992,0,0
5,DeleteRecord,1655028900.485155,962,0,0
4,UpdateRecord,1655028900.486129,1044,0,0
