Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1658920537.469143,156348,0,0
1,NewOrder,1658920537.625795,280736,0,0
2,Payment,1658920537.906569,146464,0,0
2,Payment,1658920538.053065,192053,0,0
4,Delivery,1658920538.245150,798036,0,0
3,OrderStatus,1658920539.043220,38172,0,0
2,Payment,1658920539.081415,170070,0,0
1,NewOrder,1658920539.251518,270538,0,0
1,NewOrder,1658920539.522091,291694,0,0
3,OrderStatus,1658920539.813819,38549,0,0
2,Payment,1658920539.852391,117945,0,0
2,Payment,1658920539.970370,145871,0,0
2,Payment,1658920540.116273,125228,0,0
1,NewOrder,1658920540.241533,343357,0,0
1,NewOrder,1658920540.584924,525217,0,0
2,Payment,1658920541.110183,173279,0,0
2,Payment,1658920541.283496,114382,0,0
2,Payment,1658920541.397914,114461,0,0
2,Payment,1658920541.512411,150818,0,0
2,Payment,1658920541.663266,120288,0,0
1,NewOrder,1658920541.783590,478925,0,0
2,Payment,1658920542.262668,135482,0,0
2,Payment,1658920542.398187,135498,0,0
1,NewOrder,1658920542.533720,395671,0,0
3,OrderStatus,1658920542.929427,38238,0,0
2,Payment,1658920542.967689,149442,0,0
1,NewOrder,1658920543.117167,478834,0,0
5,StockLevel,1658920543.596037,31463,0,0
5,StockLevel,1658920543.627524,29013,0,0
2,Payment,1658920543.656562,127475,0,0
3,OrderStatus,1658920543.784072,36398,0,0
2,Payment,1658920543.820494,130306,0,0
1,NewOrder,1658920543.950835,322722,0,0
1,NewOrder,1658920544.273592,281227,0,0
2,Payment,1658920544.554855,146213,0,0
3,OrderStatus,1658920544.701104,35572,0,0
1,NewOrder,1658920544.736699,391195,0,0
1,NewOrder,1658920545.127929,344033,0,0
1,NewOrder,1658920545.472011,313594,0,0
1,NewOrder,1658920545.785642,375021,0,0
2,Payment,1658920546.160699,155457,0,0
1,NewOrder,1658920546.316193,510343,0,0
1,NewOrder,1658920546.826573,336948,0,0
1,NewOrder,1658920547.163549,350723,0,0
2,Payment,1658920547.514307,150552,0,0
1,NewOrder,1658920547.664893,318374,0,0
2,Payment,1658920547.983304,158120,0,0
1,NewOrder,1658920548.141461,488011,0,0
1,NewOrder,1658920548.629508,489725,0,0
1,NewOrder,1658920549.119269,291620,0,0
3,OrderStatus,1658920549.410924,37112,0,0
2,Payment,1658920549.448061,161450,0,0
2,Payment,1658920549.609547,156148,0,0
1,NewOrder,1658920549.765730,301869,0,0
2,Payment,1658920550.067636,146154,0,0
1,NewOrder,1658920550.213825,300165,0,0
2,Payment,1658920550.514027,127028,0,0
1,NewOrder,1658920550.641091,426745,0,0
2,Payment,1658920551.067872,135905,0,0
1,NewOrder,1658920551.203812,437318,0,0
2,Payment,1658920551.641167,146259,0,0
1,NewOrder,1658920551.787464,489422,0,0
5,StockLevel,1658920552.276921,33095,0,0
5,StockLevel,1658920552.310040,31629,0,0
