Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,ScanRecord,1654983882.710255,5790,0,0
2,InsertRecord,1654983882.716253,18731,0,0
4,UpdateRecord,1654983882.734998,20805,0,0
1,ReadRecord,1654983882.755816,6002,0,0
2,InsertRecord,1654983882.761831,14820,0,0
5,DeleteRecord,1654983882.776664,4280,0,0
1,ReadRecord,1654983882.780957,5155,0,0
4,UpdateRecord,1654983882.786125,21803,0,0
2,InsertRecord,1654983882.807941,20834,0,0
2,InsertRecord,1654983882.828789,20744,0,0
5,DeleteRecord,1654983882.849546,4784,0,0
5,DeleteRecord,1654983882.854344,4696,0,0
4,UpdateRecord,1654983882.859053,10337,0,0
5,DeleteRecord,1654983882.869403,4671,0,0
3,ScanRecord,1654983882.874087,9377,0,0
2,InsertRecord,1654983882.883477,18214,0,0
4,UpdateRecord,1654983882.901705,9875,0,0
2,InsertRecord,1654983882.911593,21326,0,0
4,UpdateRecord,1654983882.932932,9931,0,0
1,ReadRecord,1654983882.942877,5446,0,0
5,DeleteRecord,1654983882.948336,4632,0,0
4,UpdateRecord,1654983882.952982,21650,0,0
4,UpdateRecord,1654983882.974646,12440,0,0
4,UpdateRecord,1654983882.987099,18783,0,0
2,InsertRecord,1654983883.005894,20779,0,0
3,ScanRecord,1654983883.026687,11115,0,0
3,ScanRecord,1654983883.037815,7893,0,0
4,UpdateRecord,1654983883.045722,10504,0,0
1,ReadRecord,1654983883.056240,5661,0,0
5,DeleteRecord,1654983883.061914,4223,0,0
1,ReadRecord,1654983883.066151,5018,0,0
5,DeleteRecord,1654983883.071182,4691,0,0
4,UpdateRecord,1654983883.075887,9637,0,0
3,ScanRecord,1654983883.085537,6830,0,0
1,ReadRecord,1654983883.092380,5819,0,0
4,UpdateRecord,1654983883.098212,9803,0,0
1,ReadRecord,1654983883.108028,6068,0,0
2,InsertRecord,1654983883.114110,16756,0,0
5,DeleteRecord,1654983883.130879,4648,0,0
2,InsertRecord,1654983883.135541,16162,0,0
3,ScanRecord,1654983883.151716,6410,0,0
5,DeleteRecord,1654983883.158139,4850,0,0
3,ScanRecord,1654983883.163003,17178,0,0
2,InsertRecord,1654983883.180197,13163,0,0
5,DeleteRecord,1654983883.193373,4612,0,0
5,DeleteRecord,1654983883.197998,4630,0,0
5,DeleteRecord,1654983883.202641,4707,0,0
4,UpdateRecord,1654983883.207360,10121,0,0
4,UpdateRecord,1654983883.217495,9653,0,0
3,ScanRecord,1654983883.227160,29997,0,0
5,DeleteRecord,1654983883.257176,5029,0,0
1,ReadRecord,1654983883.262218,5954,0,0
5,DeleteRecord,1654983883.268184,5116,0,0
3,ScanRecord,1654983883.273313,7001,0,0
2,InsertRecord,1654983883.280335,17217,0,0
3,ScanRecord,1654983883.297565,7393,0,0
3,ScanRecord,1654983883.304971,6784,0,0
4,UpdateRecord,1654983883.311767,9527,0,0
3,ScanRecord,1654983883.321307,6850,0,0
5,DeleteRecord,1654983883.328170,4576,0,0
4,UpdateRecord,1654983883.332759,9883,0,0
5,DeleteRecord,1654983883.342655,4609,0,0
1,ReadRecord,1654983883.347277,5282,0,0
5,DeleteRecord,1654983883.352572,4607,0,0
1,ReadRecord,1654983883.357192,5518,0,0
3,ScanRecord,1654983883.362728,6169,0,0
1,ReadRecord,1654983883.368909,5520,0,0
5,DeleteRecord,1654983883.374442,3944,0,0
4,UpdateRecord,1654983883.378399,8509,0,0
3,ScanRecord,1654983883.386921,6065,0,0
4,UpdateRecord,1654983883.392999,9817,0,0
2,InsertRecord,1654983883.402828,19739,0,0
5,DeleteRecord,1654983883.422580,10393,0,0
1,ReadRecord,1654983883.432986,5975,0,0
2,InsertRecord,1654983883.438974,14843,0,0
