Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,UpdateRecord,1654984051.133269,929,0,0
3,ScanRecord,1654984051.134834,900,0,0
4,UpdateRecord,1654984051.135747,1017,0,0
1,ReadRecord,1654984051.136775,1080,0,0
4,UpdateRecord,1654984051.137866,958,0,0
3,ScanRecord,1654984051.138835,903,0,0
5,DeleteRecord,1654984051.139748,938,0,0
2,InsertRecord,1654984051.140696,10522,0,0
3,ScanRecord,1654984051.151230,1064,0,0
3,ScanRecord,1654984051.152307,819,0,0
1,ReadRecord,1654984051.153138,823,0,0
1,ReadRecord,1654984051.153973,1022,0,0
4,UpdateRecord,1654984051.155008,1080,0,0
3,ScanRecord,1654984051.156100,779,0,0
1,ReadRecord,1654984051.156891,692,0,0
1,ReadRecord,1654984051.157596,772,0,0
2,InsertRecord,1654984051.158381,3264,0,0
2,InsertRecord,1654984051.161657,10449,0,0
2,InsertRecord,1654984051.172118,10342,0,0
1,ReadRecord,1654984051.182474,964,0,0
1,ReadRecord,1654984051.183451,1027,0,0
4,UpdateRecord,1654984051.184491,733,0,0
1,ReadRecord,1654984051.185234,833,0,0
2,InsertRecord,1654984051.186081,6858,0,0
2,InsertRecord,1654984051.192951,10397,0,0
3,ScanRecord,1654984051.203360,1033,0,0
1,ReadRecord,1654984051.204406,887,0,0
4,UpdateRecord,1654984051.205306,1041,0,0
1,ReadRecord,1654984051.206359,911,0,0
5,DeleteRecord,1654984051.207283,906,0,0
2,InsertRecord,1654984051.208202,15993,0,0
3,ScanRecord,1654984051.224207,801,0,0
1,ReadRecord,1654984051.225020,813,0,0
3,ScanRecord,1654984051.225845,871,0,0
5,DeleteRecord,1654984051.226728,948,0,0
1,ReadRecord,1654984051.227689,708,0,0
5,DeleteRecord,1654984051.228407,675,0,0
2,InsertRecord,1654984051.229093,5446,0,0
4,UpdateRecord,1654984051.234552,1037,0,0
3,ScanRecord,1654984051.235601,3496,0,0
3,ScanRecord,1654984051.239108,506,0,0
1,ReadRecord,1654984051.239623,685,0,0
1,ReadRecord,1654984051.240318,652,0,0
2,InsertRecord,1654984051.240980,4027,0,0
2,InsertRecord,1654984051.245018,10397,0,0
4,UpdateRecord,1654984051.255423,814,0,0
2,InsertRecord,1654984051.256246,9608,0,0
4,UpdateRecord,1654984051.265866,10464,0,0
4,UpdateRecord,1654984051.276343,974,0,0
2,InsertRecord,1654984051.277329,9429,0,0
3,ScanRecord,1654984051.286772,1006,0,0
1,ReadRecord,1654984051.287790,928,0,0
5,DeleteRecord,1654984051.288731,680,0,0
1,ReadRecord,1654984051.289420,636,0,0
5,DeleteRecord,1654984051.290069,530,0,0
