Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
5,DeleteRecord,1654987943.703115,10411,0,0
2,InsertRecord,1654987943.713706,10206,0,0
1,ReadRecord,1654987943.723924,1089,0,0
5,DeleteRecord,1654987943.725025,1042,0,0
4,UpdateRecord,1654987943.726079,8257,0,0
3,ScanRecord,1654987943.734348,3833,0,0
2,InsertRecord,1654987943.738193,6558,0,0
3,ScanRecord,1654987943.744763,2565,0,0
5,DeleteRecord,1654987943.747340,7800,0,0
5,DeleteRecord,1654987943.755152,1019,0,0
3,ScanRecord,1654987943.756183,1510,0,0
4,UpdateRecord,1654987943.757705,1313,0,0
1,ReadRecord,1654987943.759029,946,0,0
3,ScanRecord,1654987943.759985,1099,0,0
1,ReadRecord,1654987943.761096,1026,0,0
5,DeleteRecord,1654987943.762134,1020,0,0
2,InsertRecord,1654987943.763166,12881,0,0
1,ReadRecord,1654987943.776060,1174,0,0
1,ReadRecord,1654987943.777246,1091,0,0
5,DeleteRecord,1654987943.778349,8117,0,0
2,InsertRecord,1654987943.786478,10411,0,0
2,InsertRecord,1654987943.796901,10403,0,0
2,InsertRecord,1654987943.807315,10410,0,0
1,ReadRecord,1654987943.817737,1078,0,0
4,UpdateRecord,1654987943.818827,1046,0,0
4,UpdateRecord,1654987943.819886,1020,0,0
1,ReadRecord,1654987943.820918,941,0,0
5,DeleteRecord,1654987943.821872,27106,0,0
3,ScanRecord,1654987943.848990,1126,0,0
4,UpdateRecord,1654987943.850127,9251,0,0
3,ScanRecord,1654987943.859390,2081,0,0
1,ReadRecord,1654987943.861483,1693,0,0
4,UpdateRecord,1654987943.863188,1101,0,0
4,UpdateRecord,1654987943.864302,26343,0,0
4,UpdateRecord,1654987943.890657,10467,0,0
5,DeleteRecord,1654987943.901136,10394,0,0
4,UpdateRecord,1654987943.911542,10398,0,0
2,InsertRecord,1654987943.921952,10413,0,0
2,InsertRecord,1654987943.932377,10395,0,0
3,ScanRecord,1654987943.942783,3074,0,0
5,DeleteRecord,1654987943.945870,7322,0,0
2,InsertRecord,1654987943.953206,10418,0,0
1,ReadRecord,1654987943.963636,1048,0,0
1,ReadRecord,1654987943.964696,994,0,0
4,UpdateRecord,1654987943.965702,8340,0,0
3,ScanRecord,1654987943.974054,9455,0,0
5,DeleteRecord,1654987943.983521,1582,0,0
4,UpdateRecord,1654987943.985115,1068,0,0
5,DeleteRecord,1654987943.986194,1082,0,0
1,ReadRecord,1654987943.987288,1049,0,0
5,DeleteRecord,1654987943.988349,6509,0,0
5,DeleteRecord,1654987943.994870,10414,0,0
3,ScanRecord,1654987944.005296,1380,0,0
2,InsertRecord,1654987944.006688,9034,0,0
5,DeleteRecord,1654987944.015734,1044,0,0
5,DeleteRecord,1654987944.016791,9328,0,0
4,UpdateRecord,1654987944.026130,20861,0,0
3,ScanRecord,1654987944.047003,1094,0,0
2,InsertRecord,1654987944.048109,9300,0,0
5,DeleteRecord,1654987944.057421,1068,0,0
5,DeleteRecord,1654987944.058501,1013,0,0
5,DeleteRecord,1654987944.059526,8241,0,0
2,InsertRecord,1654987944.067786,10464,0,0
5,DeleteRecord,1654987944.078261,10407,0,0
3,ScanRecord,1654987944.088681,1532,0,0
4,UpdateRecord,1654987944.090229,1342,0,0
3,ScanRecord,1654987944.091583,1001,0,0
4,UpdateRecord,1654987944.092596,1163,0,0
1,ReadRecord,1654987944.093771,1056,0,0
4,UpdateRecord,1654987944.094839,4235,0,0
4,UpdateRecord,1654987944.099086,1094,0,0
3,ScanRecord,1654987944.100193,1090,0,0
5,DeleteRecord,1654987944.101294,1014,0,0
2,InsertRecord,1654987944.102321,7189,0,0
3,ScanRecord,1654987944.109522,2130,0,0
5,DeleteRecord,1654987944.111663,977,0,0
1,ReadRecord,1654987944.112653,984,0,0
2,InsertRecord,1654987944.113648,6245,0,0
2,InsertRecord,1654987944.119905,10467,0,0
1,ReadRecord,1654987944.130384,1088,0,0
3,ScanRecord,1654987944.131485,2039,0,0
5,DeleteRecord,1654987944.133535,7253,0,0
4,UpdateRecord,1654987944.140800,1117,0,0
2,InsertRecord,1654987944.141929,9277,0,0
2,InsertRecord,1654987944.151218,10392,0,0
4,UpdateRecord,1654987944.161621,10422,0,0
5,DeleteRecord,1654987944.172056,1013,0,0
1,ReadRecord,1654987944.173081,1103,0,0
4,UpdateRecord,1654987944.174208,8231,0,0
2,InsertRecord,1654987944.182451,10417,0,0
