Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
5,DeleteRecord,1654989416.119329,6200,0,0
3,ScanRecord,1654989416.125975,915,0,0
5,DeleteRecord,1654989416.126905,929,0,0
2,InsertRecord,1654989416.127847,8147,0,0
5,DeleteRecord,1654989416.136007,10399,0,0
4,UpdateRecord,1654989416.146425,1119,0,0
3,ScanRecord,1654989416.147556,1736,0,0
2,InsertRecord,1654989416.149303,7521,0,0
3,ScanRecord,1654989416.156836,3947,0,0
2,InsertRecord,1654989416.160795,6404,0,0
2,InsertRecord,1654989416.167211,10450,0,0
4,UpdateRecord,1654989416.177673,1136,0,0
5,DeleteRecord,1654989416.178821,1074,0,0
3,ScanRecord,1654989416.179906,959,0,0
2,InsertRecord,1654989416.180877,7190,0,0
4,UpdateRecord,1654989416.188079,1155,0,0
5,DeleteRecord,1654989416.189246,1074,0,0
3,ScanRecord,1654989416.190332,866,0,0
2,InsertRecord,1654989416.191209,7286,0,0
1,ReadRecord,1654989416.198506,1056,0,0
4,UpdateRecord,1654989416.199574,1118,0,0
3,ScanRecord,1654989416.200703,1048,0,0
4,UpdateRecord,1654989416.201763,1142,0,0
2,InsertRecord,1654989416.202917,6010,0,0
2,InsertRecord,1654989416.208939,10430,0,0
1,ReadRecord,1654989416.219380,1037,0,0
4,UpdateRecord,1654989416.220429,1119,0,0
2,InsertRecord,1654989416.221560,8209,0,0
5,DeleteRecord,1654989416.229781,1063,0,0
5,DeleteRecord,1654989416.230856,1012,0,0
5,DeleteRecord,1654989416.231881,981,0,0
5,DeleteRecord,1654989416.232873,1075,0,0
1,ReadRecord,1654989416.233968,1064,0,0
5,DeleteRecord,1654989416.235044,5139,0,0
2,InsertRecord,1654989416.240195,10424,0,0
2,InsertRecord,1654989416.250631,10398,0,0
2,InsertRecord,1654989416.261040,10410,0,0
2,InsertRecord,1654989416.271462,10406,0,0
2,InsertRecord,1654989416.281879,10452,0,0
4,UpdateRecord,1654989416.292343,1170,0,0
5,DeleteRecord,1654989416.293525,1053,0,0
3,ScanRecord,1654989416.294591,3752,0,0
5,DeleteRecord,1654989416.298354,1645,0,0
5,DeleteRecord,1654989416.300011,1041,0,0
1,ReadRecord,1654989416.301064,1010,0,0
