Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,ScanRecord,1654987600.692050,2864,0,0
5,DeleteRecord,1654987600.695501,699,0,0
5,DeleteRecord,1654987600.696212,713,0,0
4,UpdateRecord,1654987600.696935,1045,0,0
4,UpdateRecord,1654987600.697994,963,0,0
1,ReadRecord,1654987600.698970,878,0,0
4,UpdateRecord,1654987600.699861,10825,0,0
5,DeleteRecord,1654987600.710699,956,0,0
3,ScanRecord,1654987600.711667,798,0,0
3,ScanRecord,1654987600.712478,532,0,0
2,InsertRecord,1654987600.713020,8036,0,0
2,InsertRecord,1654987600.721069,10434,0,0
4,UpdateRecord,1654987600.731515,1063,0,0
5,DeleteRecord,1654987600.732591,802,0,0
3,ScanRecord,1654987600.733406,823,0,0
3,ScanRecord,1654987600.734241,2572,0,0
3,ScanRecord,1654987600.736826,751,0,0
1,ReadRecord,1654987600.737590,806,0,0
4,UpdateRecord,1654987600.738408,907,0,0
4,UpdateRecord,1654987600.739329,854,0,0
5,DeleteRecord,1654987600.740196,761,0,0
3,ScanRecord,1654987600.740969,716,0,0
4,UpdateRecord,1654987600.741698,945,0,0
4,UpdateRecord,1654987600.742656,1082,0,0
3,ScanRecord,1654987600.743751,713,0,0
3,ScanRecord,1654987600.744477,5057,0,0
2,InsertRecord,1654987600.749547,2670,0,0
2,InsertRecord,1654987600.752227,10536,0,0
2,InsertRecord,1654987600.762775,10483,0,0
4,UpdateRecord,1654987600.773271,1098,0,0
3,ScanRecord,1654987600.774382,853,0,0
3,ScanRecord,1654987600.775248,760,0,0
2,InsertRecord,1654987600.776028,7640,0,0
4,UpdateRecord,1654987600.783681,1091,0,0
1,ReadRecord,1654987600.784785,958,0,0
3,ScanRecord,1654987600.785756,924,0,0
3,ScanRecord,1654987600.786692,852,0,0
4,UpdateRecord,1654987600.787557,795,0,0
3,ScanRecord,1654987600.788363,3267,0,0
2,InsertRecord,1654987600.791641,12869,0,0
4,UpdateRecord,1654987600.804523,1096,0,0
1,ReadRecord,1654987600.805632,996,0,0
2,InsertRecord,1654987600.806640,8281,0,0
2,InsertRecord,1654987600.814934,10397,0,0
5,DeleteRecord,1654987600.825343,1008,0,0
4,UpdateRecord,1654987600.826365,955,0,0
2,InsertRecord,1654987600.827333,8419,0,0
5,DeleteRecord,1654987600.835765,928,0,0
4,UpdateRecord,1654987600.836706,924,0,0
4,UpdateRecord,1654987600.837643,8526,0,0
1,ReadRecord,1654987600.846182,1057,0,0
1,ReadRecord,1654987600.847251,947,0,0
3,ScanRecord,1654987600.848208,632,0,0
5,DeleteRecord,1654987600.848853,7659,0,0
3,ScanRecord,1654987600.856525,848,0,0
3,ScanRecord,1654987600.857386,1242,0,0
2,InsertRecord,1654987600.858641,8395,0,0
5,DeleteRecord,1654987600.867050,10419,0,0
3,ScanRecord,1654987600.877482,1275,0,0
1,ReadRecord,1654987600.878769,971,0,0
3,ScanRecord,1654987600.879752,670,0,0
5,DeleteRecord,1654987600.880435,610,0,0
