Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,UpdateRecord,1655026066.350466,973,0,0
4,UpdateRecord,1655026066.351685,1078,0,0
4,UpdateRecord,1655026066.352778,1007,0,0
1,ReadRecord,1655026066.353799,939,0,0
5,DeleteRecord,1655026066.354751,951,0,0
4,UpdateRecord,1655026066.355716,1161,0,0
1,ReadRecord,1655026066.356890,1122,0,0
2,InsertRecord,1655026066.358025,13305,0,0
5,DeleteRecord,1655026066.371347,1070,0,0
1,ReadRecord,1655026066.372429,1051,0,0
3,ScanRecord,1655026066.373494,2487,0,0
3,ScanRecord,1655026066.375997,4022,0,0
1,ReadRecord,1655026066.380031,1681,0,0
4,UpdateRecord,1655026066.381724,1192,0,0
2,InsertRecord,1655026066.382928,9342,0,0
1,ReadRecord,1655026066.394261,1262,0,0
5,DeleteRecord,1655026066.395563,1106,0,0
2,InsertRecord,1655026066.396681,6014,0,0
2,InsertRecord,1655026066.402708,10392,0,0
2,InsertRecord,1655026066.413112,10396,0,0
3,ScanRecord,1655026066.423521,1127,0,0
1,ReadRecord,1655026066.424660,1137,0,0
5,DeleteRecord,1655026066.425809,1082,0,0
2,InsertRecord,1655026066.426904,6992,0,0
2,InsertRecord,1655026066.433908,10487,0,0
4,UpdateRecord,1655026066.444407,1242,0,0
1,ReadRecord,1655026066.445661,1078,0,0
4,UpdateRecord,1655026066.446751,1186,0,0
3,ScanRecord,1655026066.447949,1033,0,0
1,ReadRecord,1655026066.449001,1108,0,0
2,InsertRecord,1655026066.450120,4657,0,0
5,DeleteRecord,1655026066.454790,1108,0,0
5,DeleteRecord,1655026066.455910,1139,0,0
1,ReadRecord,1655026066.457061,1143,0,0
5,DeleteRecord,1655026066.458217,1092,0,0
2,InsertRecord,1655026066.459321,5915,0,0
1,ReadRecord,1655026066.465248,1153,0,0
4,UpdateRecord,1655026066.466414,1248,0,0
2,InsertRecord,1655026066.467674,7994,0,0
2,InsertRecord,1655026066.475680,10409,0,0
5,DeleteRecord,1655026066.486102,10362,0,0
3,ScanRecord,1655026066.496476,1075,0,0
3,ScanRecord,1655026066.497564,1064,0,0
1,ReadRecord,1655026066.498644,1113,0,0
1,ReadRecord,1655026066.499769,1082,0,0
2,InsertRecord,1655026066.500863,6038,0,0
3,ScanRecord,1655026066.506913,1045,0,0
1,ReadRecord,1655026066.507971,1140,0,0
2,InsertRecord,1655026066.509123,8217,0,0
1,ReadRecord,1655026066.517352,1195,0,0
2,InsertRecord,1655026066.518560,9205,0,0
5,DeleteRecord,1655026066.527777,10396,0,0
3,ScanRecord,1655026066.538191,1996,0,0
3,ScanRecord,1655026066.540199,1273,0,0
4,UpdateRecord,1655026066.541485,1186,0,0
1,ReadRecord,1655026066.542682,1114,0,0
5,DeleteRecord,1655026066.543809,1014,0,0
4,UpdateRecord,1655026066.544836,1145,0,0
3,ScanRecord,1655026066.545993,1295,0,0
2,InsertRecord,1655026066.547300,22194,0,0
4,UpdateRecord,1655026066.569507,10400,0,0
1,ReadRecord,1655026066.579920,1101,0,0
5,DeleteRecord,1655026066.581059,1050,0,0
5,DeleteRecord,1655026066.582121,989,0,0
2,InsertRecord,1655026066.583122,7176,0,0
2,InsertRecord,1655026066.590315,10366,0,0
1,ReadRecord,1655026066.600694,890,0,0
1,ReadRecord,1655026066.601595,853,0,0
2,InsertRecord,1655026066.602461,8661,0,0
1,ReadRecord,1655026066.611137,979,0,0
4,UpdateRecord,1655026066.612128,1029,0,0
3,ScanRecord,1655026066.613169,957,0,0
3,ScanRecord,1655026066.614139,867,0,0
